1,"Много ли Вы чихаете?"
2,"Болят ли или слезятся Ваши глаза?"
3,"Болит ли у Вас горло?"
4,"Охрип ли Ваш голос?"
5,"Много ли Вы кашляете?"
6,"Есть ли у Вас насморк?"
7,"Болит ли у Вас голова или Вы вообще страдаете от головных болей?"
8,"Есть ли у Вас повышенная температура (более 37 градусов С)?"
9,"Приходится ли Вам подолгу находиться в запыленной атмосфере?"
10,"Испытываете ли Вы кожный зуд?"
11,"Пересохло ли у Вас в горле?"
12,"Слышны ли у Вас хрипы при дыхании?"
13,"'Забит' ли у Вас нос?"
14,"Была ли у Вас в последнее время простуда или другая подобная инфекция?"
15,"Ощущаете ли Вы общее болезненное состояние?"
16,"Ощущаете ли Вы трудности при глотании?"
17,"Болят ли у Вас мышцы?"
18,"Ощущаете ли Вы боли в груди?"
19,"Удалены ли у Вас гланды?"
20,"Есть ли у Вас симптомы, проявляющиеся в виде 'приступов'?"
21,"Выделяется ли у Вас мокрота при кашле?"
22,"Есть ли у Вас одышка?"
23,"Много ли Вы потеете не только при физической нагрузке, но и в состоянии покоя?"
24,"Учащен ли Ваш пульс? Нормальный пульс - 60-80 ударов в минуту или немного чаще для лиц старше 70 и моложе 20 лет."
25,"Случаются ли у Вас сильные приступы одышки, которые вызывают серьезную озабоченность?"
26,"Наблюдается ли у Вас посинение кожи?"
27,"Есть ли кровь в мокроте, когда Вы кашляете?"
28,"Не ощущаете ли Вы себя сконфуженным происходящим вокруг?"
29,"Не наблюдаете ли Вы у себя (или у пациента) проявлений бессвязной речи и плохой координации движений?"
30,"Бывает ли у Вас сухой (без выделения мокроты) кашель?"
31,"Ощущаете ли Вы боль при дыхании или кашле?"
32,"Бывают ли у Вас очень сильные боли в груди?"
33,"Ощущаете ли Вы переодически озноб или лихорадку?"
34,"Наблюдаются ли у Вас длительно (шесть и более недель) симптомы какой-то болезни?"
35,"Опухли ли конечные фаланги Ваших пальцев (с ногтей при этом сходит защитная пленка и они загибаются)?"
36,"Наблюдаете ли Вы симптомы, возникающие обычно при большой физической нагрузке?"
37,"Курите ли Вы? Для ответа используйте деленное на пять число выкуриваемых Вами сигарет в день (максимальный ответ 5, -5 означает, что Вы не курите)."
38,"Бывают ли у Вас ощущения головокружения?"
39,"Бывают ли у Вас ощущения 'сердцебиения' (сердце бьется быстрее или не так ровно, как следует)?"
40,"Не распухли ли Ваши лодыжки?"
41,"Была ли у Вас рвота или сильная тошнота?"
42,"Есть ли у Вас боль в животе?"
43,"Был ли у Вас понос?"
44,"Удален ли у Вас аппендикс?"
45,"Есть ли у Вас признаки желтухи (например, пожелтение белков глаз)?"
46,"Чувствуете ли Вы какую-то напряженность и тревогу?"
47,"Трудно ли Вы засыпаете? Часто ли Вы просыпаетесь по ночам?"
48,"Наблюдаете ли Вы у себя непроизвольные подергивания или дрожь?"
49,"Страдаете ли Вы от запоров, когда стул бывает редко или затруднен?"
50,"Жалуетесь ли Вы на память (существует трудность в запоминании отдельных фактов)?"
51,"Потеряли ли Вы (полностью или частично) способность говорить?"
52,"Бывает ли у Вас кровотечение из области заднего прохода?"
53,"Укажите Ваш пол. Введите 5 для мужчины и -5 для женщины. Для анализа безотносительно к полу введите 0."
54,"Есть ли у Вас ощущение онемения или боли в области шеи?"
55,"Не повреждали ли Вы голову за последние несколько недель (важным может оказаться даже небольшое повреждение)?"
56,"Был ли у Вас за последнее время ненормальный стул?"
57,"Бывает ли у Вас сильная отрыжка или выход газов?"
58,"Часто ли у Вас наблюдается слабость или даже обмороки?"
59,"Есть ли у Вас зуд в какой-то части тела (независимо от наличия или отсутствия сыпи)?"
60,"Есть ли у Вас на коже какая-то сыпь?"
61,"Чувствуете ли Вы онемелость какой-то части тела или ощущение покалывания?"
62,"Есть ли у Вас излишний вес или он ниже нормы (введите 5 при определенном избытке веса или -5 при его дифиците и 0, при весе в норме)?"
63,"Есть ли у Вас боли в области лица или лба?"
64,"Есть ли у Вас какие-то припухлости под кожей?"
65,"Изменился ли цвет Вашей мочи?"
66,"Нет ли у Вас слишком частого мочеиспускания?"
67,"Наблюдаете ли Вы боли при мочеиспускании?"
68,"Есть ли у Вас нарушение зрения - все расплывается, двоится, Вы видите вспышки (дефекты зрения, которые могут быть исправлены очками, не играют роли)?"
